"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"заказать роллы в кирове","2019-07-01 - 2019-09-09","26.00","0.00","0.00","14.19","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","23.00","0.00","0.00","14.74",""
"доставка еды на дом киров","2019-07-01 - 2019-09-09","26.00","2.00","7.69","14.12","13.00","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.80","","21.00","2.00","9.52","15.62","13.00"
"кафе шумовка киров","2019-07-01 - 2019-09-09","26.00","7.00","26.92","2.38","2.00","0.00","2.00","1.00","50.00","22.00","6.00","27.27","2.36","2.17","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"шумовка киров калинина","2019-07-01 - 2019-09-09","24.00","1.00","4.17","2.04","2.00","0.00","3.00","0.00","0.00","21.00","1.00","4.76","2.19","2.00","0.00","0.00","","","","0.00","0.00","","",""
"супчик киров","2019-07-01 - 2019-09-09","24.00","1.00","4.17","5.58","4.00","0.00","0.00","0.00","","0.00","0.00","","","","23.00","1.00","4.35","5.35","4.00","1.00","0.00","0.00","11.00",""
"супчик 43","2019-07-01 - 2019-09-09","24.00","1.00","4.17","4.29","3.00","0.00","0.00","0.00","","9.00","1.00","11.11","3.00","3.00","15.00","0.00","0.00","5.07","","0.00","0.00","","",""
"киров доставка еды","2019-07-01 - 2019-09-09","24.00","1.00","4.17","15.79","11.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","22.00","1.00","4.55","16.41","11.00"
"заказ пиццы киров","2019-07-01 - 2019-09-09","24.00","0.00","0.00","9.79","","0.00","0.00","0.00","","0.00","0.00","","","","12.00","0.00","0.00","8.50","","12.00","0.00","0.00","11.08",""
"вкусные роллы киров","2019-07-01 - 2019-09-09","24.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","19.00","0.00","0.00","7.79","","5.00","0.00","0.00","11.20",""
"вкусно блин киров","2019-07-01 - 2019-09-09","23.00","0.00","0.00","10.17","","0.00","0.00","0.00","","0.00","0.00","","","","15.00","0.00","0.00","8.67","","8.00","0.00","0.00","13.00",""
"доставка пиццы","2019-07-01 - 2019-09-09","23.00","1.00","4.35","18.39","10.00","0.00","0.00","0.00","","0.00","0.00","","","","8.00","1.00","12.50","7.25","10.00","15.00","0.00","0.00","24.33",""
"заказать роллы в кирове с бесплатной доставкой","2019-07-01 - 2019-09-09","23.00","0.00","0.00","10.96","","0.00","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","9.33","","14.00","0.00","0.00","12.00",""
"заказ пиццы кирова","2019-07-01 - 2019-09-09","21.00","0.00","0.00","17.29","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","20.00","0.00","0.00","17.75",""
"заказ еды киров на дом","2019-07-01 - 2019-09-09","21.00","0.00","0.00","10.48","","0.00","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","7.73","","10.00","0.00","0.00","13.50",""
"доставка","2019-07-01 - 2019-09-09","20.00","0.00","0.00","10.35","","0.00","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","7.60","","10.00","0.00","0.00","13.10",""
"заказать пиццу в кирове с доставкой","2019-07-01 - 2019-09-09","19.00","0.00","0.00","10.32","","0.00","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","9.45","","8.00","0.00","0.00","11.50",""
"заказ еды","2019-07-01 - 2019-09-09","19.00","1.00","5.26","10.21","12.00","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","7.57","","12.00","1.00","8.33","11.75","12.00"
"чебуреки киров доставка","2019-07-01 - 2019-09-09","18.00","6.00","33.33","3.44","4.00","0.00","3.00","0.00","0.00","6.00","2.00","33.33","2.83","3.00","9.00","4.00","44.44","4.67","4.50","0.00","0.00","","",""
"блинные киров","2019-07-01 - 2019-09-09","18.00","0.00","0.00","11.06","","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","9.29","","11.00","0.00","0.00","12.18",""
"пельменная киров","2019-07-01 - 2019-09-09","18.00","0.00","0.00","10.78","","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","9.50","","12.00","0.00","0.00","11.42",""
"удон киров","2019-07-01 - 2019-09-09","17.00","1.00","5.88","7.47","6.00","0.00","0.00","0.00","","0.00","0.00","","","","16.00","1.00","6.25","7.25","6.00","1.00","0.00","0.00","11.00",""
"доставка чебуреков киров","2019-07-01 - 2019-09-09","17.00","5.00","29.41","3.88","3.20","0.00","0.00","0.00","","8.00","3.00","37.50","2.63","2.33","9.00","2.00","22.22","5.00","4.50","0.00","0.00","","",""
"доставка еды киров круглосуточно","2019-07-01 - 2019-09-09","17.00","1.00","5.88","14.41","13.00","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","14.00","1.00","7.14","15.36","13.00"
"заказать еду киров на дом","2019-07-01 - 2019-09-09","16.00","0.00","0.00","9.63","","0.00","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","8.00","","7.00","0.00","0.00","11.71",""
"доставка роллов","2019-07-01 - 2019-09-09","16.00","0.00","0.00","35.31","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","16.00","0.00","0.00","35.31",""
"вкусный обед киров доставка","2019-07-01 - 2019-09-09","16.00","2.00","12.50","13.69","20.00","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.20","","11.00","2.00","18.18","15.73","20.00"
"блины киров","2019-07-01 - 2019-09-09","16.00","0.00","0.00","8.75","","0.00","0.00","0.00","","0.00","0.00","","","","14.00","0.00","0.00","8.29","","2.00","0.00","0.00","12.00",""
"доставка лапши киров","2019-07-01 - 2019-09-09","15.00","3.00","20.00","8.07","7.33","0.00","0.00","0.00","","0.00","0.00","","","","12.00","2.00","16.67","7.33","5.50","3.00","1.00","33.33","11.00","11.00"
"заказ ужинов в кирове","2019-07-01 - 2019-09-09","15.00","0.00","0.00","21.07","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","15.00","0.00","0.00","21.07",""
"чизкейк киров купить","2019-07-01 - 2019-09-09","14.00","0.00","0.00","7.71","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","10.00","0.00","0.00","7.30","","3.00","0.00","0.00","11.00",""
"заказ пиццы в кирове с бесплатной доставкой","2019-07-01 - 2019-09-09","14.00","1.00","7.14","8.50","6.00","0.00","0.00","0.00","","0.00","0.00","","","","11.00","1.00","9.09","7.82","6.00","3.00","0.00","0.00","11.00",""
"пицца заказать киров","2019-07-01 - 2019-09-09","14.00","0.00","0.00","10.64","","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","9.86","","7.00","0.00","0.00","11.43",""
"запеченные роллы в кирове","2019-07-01 - 2019-09-09","13.00","2.00","15.38","13.00","13.00","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","13.00","2.00","15.38","13.00","13.00"
"чебуреки те самые киров","2019-07-01 - 2019-09-09","13.00","0.00","0.00","8.15","","0.00","0.00","0.00","","0.00","0.00","","","","13.00","0.00","0.00","8.15","","0.00","0.00","","",""
"заказать роллы","2019-07-01 - 2019-09-09","12.00","0.00","0.00","11.25","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","10.00","0.00","0.00","11.60",""
"лапша вок киров","2019-07-01 - 2019-09-09","12.00","2.00","16.67","11.92","12.50","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.67","","9.00","2.00","22.22","12.67","12.50"
"супчик доставка обедов","2019-07-01 - 2019-09-09","12.00","2.00","16.67","3.67","4.00","0.00","0.00","0.00","","3.00","0.00","0.00","2.00","","9.00","2.00","22.22","4.22","4.00","0.00","0.00","","",""
"заказать роллы киров","2019-07-01 - 2019-09-09","12.00","0.00","0.00","11.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","12.00","0.00","0.00","11.50",""
"доставка чебуреков","2019-07-01 - 2019-09-09","11.00","0.00","0.00","9.91","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","8.00","0.00","0.00","8.75","","2.00","0.00","0.00","18.00",""
"комплексные обеды с доставкой","2019-07-01 - 2019-09-09","11.00","0.00","0.00","15.73","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.00","","8.00","0.00","0.00","18.25",""
"киров заказ еды","2019-07-01 - 2019-09-09","11.00","3.00","27.27","9.45","4.33","0.00","0.00","0.00","","4.00","2.00","50.00","2.00","2.00","3.00","1.00","33.33","9.00","9.00","4.00","0.00","0.00","17.25",""
"заказать удон киров","2019-07-01 - 2019-09-09","11.00","1.00","9.09","8.27","6.00","0.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","7.56","6.00","2.00","0.00","0.00","11.50",""
"доставка обедов киров домашняя еда","2019-07-01 - 2019-09-09","11.00","2.00","18.18","10.91","9.50","0.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","6.50","7.00","7.00","1.00","14.29","13.43","12.00"
"еда киров","2019-07-01 - 2019-09-09","11.00","1.00","9.09","14.91","11.00","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.00","","8.00","1.00","12.50","17.13","11.00"
"доставка домашней еды киров","2019-07-01 - 2019-09-09","11.00","1.00","9.09","7.82","4.00","0.00","0.00","0.00","","0.00","0.00","","","","8.00","1.00","12.50","6.50","4.00","3.00","0.00","0.00","11.33",""
"пельмени киров","2019-07-01 - 2019-09-09","11.00","0.00","0.00","5.73","","0.00","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","5.73","","0.00","0.00","","",""
"вкусно блин киров меню","2019-07-01 - 2019-09-09","11.00","0.00","0.00","7.09","","0.00","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","6.60","","1.00","0.00","0.00","12.00",""
"заказать еду в кирове","2019-07-01 - 2019-09-09","11.00","0.00","0.00","10.64","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.33","","8.00","0.00","0.00","11.50",""
"wok-лапша киров","2019-07-01 - 2019-09-09","10.00","0.00","0.00","13.60","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","10.00","0.00","0.00","13.60",""
"чебурек 43 киров","2019-07-01 - 2019-09-09","10.00","1.00","10.00","8.60","7.00","0.00","0.00","0.00","","0.00","0.00","","","","10.00","1.00","10.00","8.60","7.00","0.00","0.00","","",""
"еда на заказ киров","2019-07-01 - 2019-09-09","10.00","1.00","10.00","17.10","22.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","9.00","1.00","11.11","18.44","22.00"
"шумовка калинина 40","2019-07-01 - 2019-09-09","10.00","3.00","30.00","2.20","2.00","0.00","0.00","0.00","","10.00","3.00","30.00","2.20","2.00","0.00","0.00","","","","0.00","0.00","","",""
"лапша киров","2019-07-01 - 2019-09-09","10.00","1.00","10.00","9.80","13.00","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.86","","3.00","1.00","33.33","12.00","13.00"
"заказ обедов в офис","2019-07-01 - 2019-09-09","10.00","0.00","0.00","19.30","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","10.00","0.00","0.00","19.30",""
"шумовка киров официальный сайт","2019-07-01 - 2019-09-09","10.00","6.00","60.00","1.50","1.33","0.00","5.00","4.00","80.00","5.00","2.00","40.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"лапша удон киров","2019-07-01 - 2019-09-09","10.00","1.00","10.00","9.50","12.00","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.57","","3.00","1.00","33.33","11.67","12.00"
"чебуреки с доставкой","2019-07-01 - 2019-09-09","9.00","0.00","0.00","9.33","","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","8.00","","3.00","0.00","0.00","12.00",""
"вкусные роллы киров доставка","2019-07-01 - 2019-09-09","9.00","0.00","0.00","8.56","","0.00","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","8.25","","1.00","0.00","0.00","11.00",""
"доставка киров еда","2019-07-01 - 2019-09-09","9.00","1.00","11.11","19.56","14.00","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","9.00","1.00","11.11","19.56","14.00"
"пицца в кирове с доставкой","2019-07-01 - 2019-09-09","9.00","0.00","0.00","9.78","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.20","","4.00","0.00","0.00","11.75",""
"кафе шумовка калинина 40","2019-07-01 - 2019-09-09","9.00","2.00","22.22","2.44","1.00","0.00","1.00","2.00","200.00","7.00","0.00","0.00","2.43","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"лапша киров доставка","2019-07-01 - 2019-09-09","9.00","1.00","11.11","6.56","5.00","0.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","6.56","5.00","0.00","0.00","","",""
"заказать обед киров","2019-07-01 - 2019-09-09","9.00","1.00","11.11","8.00","9.00","0.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","8.00","9.00","0.00","0.00","","",""
"доставка блинов киров","2019-07-01 - 2019-09-09","9.00","5.00","55.56","3.00","2.80","0.00","2.00","1.00","50.00","3.00","2.00","66.67","2.33","2.50","4.00","2.00","50.00","4.50","4.00","0.00","0.00","","",""
"доставка еды киров от 300 рублей","2019-07-01 - 2019-09-09","9.00","0.00","0.00","10.89","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.40","","4.00","0.00","0.00","12.75",""
"удон киров доставка","2019-07-01 - 2019-09-09","9.00","0.00","0.00","7.33","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","8.00","0.00","0.00","7.88","","0.00","0.00","","",""
"кафе шумовка","2019-07-01 - 2019-09-09","9.00","0.00","0.00","2.22","","0.00","0.00","0.00","","9.00","0.00","0.00","2.22","","0.00","0.00","","","","0.00","0.00","","",""
"заказать чебуреки с доставкой","2019-07-01 - 2019-09-09","8.00","0.00","0.00","4.63","","0.00","2.00","0.00","0.00","0.00","0.00","","","","5.00","0.00","0.00","4.80","","1.00","0.00","0.00","11.00",""
"заказ","2019-07-01 - 2019-09-09","8.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","5.14","","1.00","0.00","0.00","12.00",""
"вкусная пицца в кирове с доставкой","2019-07-01 - 2019-09-09","8.00","0.00","0.00","4.88","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","7.00","0.00","0.00","5.14","","0.00","0.00","","",""
"еда киров доставка","2019-07-01 - 2019-09-09","8.00","1.00","12.50","18.38","15.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","7.00","1.00","14.29","20.00","15.00"
"обед на дом киров","2019-07-01 - 2019-09-09","8.00","1.00","12.50","10.75","8.00","0.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","8.25","8.00","4.00","0.00","0.00","13.25",""
"пельмени кировские","2019-07-01 - 2019-09-09","8.00","0.00","0.00","7.38","","0.00","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","7.38","","0.00","0.00","","",""
"супчик43","2019-07-01 - 2019-09-09","8.00","0.00","0.00","4.38","","0.00","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","4.38","","0.00","0.00","","",""
"еда на заказ с доставкой киров","2019-07-01 - 2019-09-09","8.00","0.00","0.00","12.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","8.00","0.00","0.00","12.50",""
"десерты киров","2019-07-01 - 2019-09-09","8.00","2.00","25.00","4.38","4.50","0.00","0.00","0.00","","4.00","1.00","25.00","2.50","2.00","4.00","1.00","25.00","6.25","7.00","0.00","0.00","","",""
"доставка продуктов киров","2019-07-01 - 2019-09-09","8.00","0.00","0.00","27.13","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","8.00","0.00","0.00","27.13",""
"пельмени толмачев киров","2019-07-01 - 2019-09-09","8.00","0.00","0.00","13.63","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","8.00","0.00","0.00","13.63",""
"китайская лапша киров","2019-07-01 - 2019-09-09","8.00","1.00","12.50","11.38","11.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","7.00","1.00","14.29","11.71","11.00"
"заказ еды в кирове","2019-07-01 - 2019-09-09","8.00","1.00","12.50","11.50","9.00","0.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","9.40","9.00","3.00","0.00","0.00","15.00",""
"пицца киров заказать с доставкой","2019-07-01 - 2019-09-09","7.00","0.00","0.00","11.57","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","5.00","0.00","0.00","12.20",""
"заказ еды онлайн 130","2019-07-01 - 2019-09-09","7.00","0.00","0.00","11.14","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","7.50","","3.00","0.00","0.00","16.00",""
"доставка еды от 300 рублей в кирове","2019-07-01 - 2019-09-09","7.00","0.00","0.00","10.86","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","6.00","0.00","0.00","11.00",""
"калинина 40","2019-07-01 - 2019-09-09","7.00","0.00","0.00","10.71","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","5.00","0.00","0.00","12.20",""
"чизкейк в кирове","2019-07-01 - 2019-09-09","7.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать пиццу","2019-07-01 - 2019-09-09","7.00","0.00","0.00","8.57","","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","8.17","","1.00","0.00","0.00","11.00",""
"вятский чебурек киров официальный сайт меню цены","2019-07-01 - 2019-09-09","7.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","7.00","","0.00","0.00","","",""
"еда на дом","2019-07-01 - 2019-09-09","7.00","0.00","0.00","11.29","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.33","","4.00","0.00","0.00","15.00",""
"вятские чебуреки киров","2019-07-01 - 2019-09-09","7.00","0.00","0.00","9.57","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.80","","2.00","0.00","0.00","11.50",""
"шумовка киров калинина 40 доставка","2019-07-01 - 2019-09-09","7.00","1.00","14.29","2.00","2.00","0.00","0.00","0.00","","7.00","1.00","14.29","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"вкусная еда киров доставка","2019-07-01 - 2019-09-09","6.00","0.00","0.00","6.67","","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","6.67","","0.00","0.00","","",""
"заказать киров еду","2019-07-01 - 2019-09-09","6.00","0.00","0.00","9.83","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.75","","2.00","0.00","0.00","12.00",""
"еда 43","2019-07-01 - 2019-09-09","6.00","0.00","0.00","9.33","","0.00","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","7.00","","2.00","0.00","0.00","14.00",""
