"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"супчик 43","2019-07-04 - 2019-10-04","92.00","1.00","1.09","4.34","3.00","0.00","0.00","","24.00","1.00","4.17","3.00","3.00","68.00","0.00","0.00","4.81","","0.00","0.00","","",""
"доставка обедов киров","2019-07-04 - 2019-10-04","92.00","12.00","13.04","9.92","11.58","0.00","0.00","","0.00","0.00","","","","61.00","6.00","9.84","5.84","6.17","31.00","6.00","19.35","17.97","17.00"
"доставка еды в кирове","2019-07-04 - 2019-10-04","85.00","5.00","5.88","11.74","17.20","0.00","0.00","","0.00","0.00","","","","22.00","0.00","0.00","8.86","","63.00","5.00","7.94","12.75","17.20"
"пицца киров заказать","2019-07-04 - 2019-10-04","81.00","0.00","0.00","8.56","","0.00","0.00","","0.00","0.00","","","","68.00","0.00","0.00","7.97","","13.00","0.00","0.00","11.62",""
"пицца киров доставка","2019-07-04 - 2019-10-04","79.00","0.00","0.00","11.53","","0.00","0.00","","0.00","0.00","","","","14.00","0.00","0.00","10.00","","65.00","0.00","0.00","11.86",""
"заказать пиццу в кирове","2019-07-04 - 2019-10-04","76.00","0.00","0.00","10.76","","0.00","0.00","","0.00","0.00","","","","34.00","0.00","0.00","9.00","","42.00","0.00","0.00","12.19",""
"доставка пиццы","2019-07-04 - 2019-10-04","74.00","3.00","4.05","9.81","8.00","2.00","0.00","0.00","1.00","0.00","0.00","3.00","","56.00","3.00","5.36","6.36","8.00","15.00","0.00","0.00","24.33",""
"вятский чебурек","2019-07-04 - 2019-10-04","71.00","1.00","1.41","10.94","11.00","0.00","0.00","","2.00","0.00","0.00","2.50","","18.00","0.00","0.00","9.28","","51.00","1.00","1.96","11.86","11.00"
"заказать роллы киров","2019-07-04 - 2019-10-04","71.00","1.00","1.41","12.75","12.00","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","9.89","","62.00","1.00","1.61","13.16","12.00"
"чебуреки киров","2019-07-04 - 2019-10-04","69.00","6.00","8.70","4.45","4.00","1.00","0.00","0.00","8.00","2.00","25.00","3.00","3.00","60.00","4.00","6.67","4.70","4.50","0.00","0.00","","",""
"заказать еду на дом киров","2019-07-04 - 2019-10-04","64.00","5.00","7.81","8.75","10.20","0.00","0.00","","0.00","0.00","","","","45.00","2.00","4.44","7.47","7.50","19.00","3.00","15.79","11.79","12.00"
"чизкейки киров","2019-07-04 - 2019-10-04","63.00","1.00","1.59","9.10","7.00","0.00","0.00","","0.00","0.00","","","","45.00","1.00","2.22","8.27","7.00","18.00","0.00","0.00","11.17",""
"заказать роллы в кирове с бесплатной доставкой","2019-07-04 - 2019-10-04","62.00","0.00","0.00","9.92","","0.00","0.00","","0.00","0.00","","","","37.00","0.00","0.00","8.76","","25.00","0.00","0.00","11.64",""
"кафе супчик киров","2019-07-04 - 2019-10-04","61.00","0.00","0.00","7.23","","0.00","0.00","","4.00","0.00","0.00","3.00","","47.00","0.00","0.00","6.55","","10.00","0.00","0.00","12.10",""
"доставка пиццы в кирове","2019-07-04 - 2019-10-04","61.00","0.00","0.00","9.95","","0.00","0.00","","1.00","0.00","0.00","3.00","","33.00","0.00","0.00","8.27","","27.00","0.00","0.00","12.26",""
"заказ обедов киров","2019-07-04 - 2019-10-04","58.00","3.00","5.17","11.62","6.00","1.00","0.00","0.00","0.00","0.00","","","","36.00","3.00","8.33","6.17","6.00","21.00","0.00","0.00","21.48",""
"заказ еды на дом киров","2019-07-04 - 2019-10-04","57.00","0.00","0.00","9.65","","0.00","0.00","","0.00","0.00","","","","31.00","0.00","0.00","6.81","","26.00","0.00","0.00","13.04",""
"доставка еды на дом","2019-07-04 - 2019-10-04","52.00","1.00","1.92","11.40","6.00","3.00","0.00","0.00","2.00","0.00","0.00","2.50","","19.00","1.00","5.26","6.89","6.00","28.00","0.00","0.00","16.21",""
"супчик 43 киров","2019-07-04 - 2019-10-04","52.00","0.00","0.00","7.08","","0.00","0.00","","0.00","0.00","","","","50.00","0.00","0.00","6.92","","2.00","0.00","0.00","11.00",""
"заказ пиццы киров","2019-07-04 - 2019-10-04","45.00","0.00","0.00","10.76","","0.00","0.00","","0.00","0.00","","","","20.00","0.00","0.00","9.05","","25.00","0.00","0.00","12.12",""
"доставка еды на дом киров","2019-07-04 - 2019-10-04","45.00","3.00","6.67","12.22","12.00","0.00","0.00","","0.00","0.00","","","","19.00","1.00","5.26","8.37","10.00","26.00","2.00","7.69","15.04","13.00"
"супчик киров","2019-07-04 - 2019-10-04","45.00","1.00","2.22","4.64","4.00","0.00","0.00","","3.00","0.00","0.00","3.00","","41.00","1.00","2.44","4.61","4.00","1.00","0.00","0.00","11.00",""
"еда на дом киров","2019-07-04 - 2019-10-04","43.00","3.00","6.98","11.14","11.67","0.00","0.00","","1.00","0.00","0.00","2.00","","15.00","0.00","0.00","8.60","","27.00","3.00","11.11","12.89","11.67"
"вятский чебурек киров официальный сайт","2019-07-04 - 2019-10-04","43.00","0.00","0.00","9.74","","0.00","0.00","","0.00","0.00","","","","30.00","0.00","0.00","9.03","","13.00","0.00","0.00","11.38",""
"доставка пиццы киров","2019-07-04 - 2019-10-04","42.00","0.00","0.00","12.88","","2.00","0.00","0.00","0.00","0.00","","","","5.00","0.00","0.00","9.00","","35.00","0.00","0.00","14.11",""
"заказ обедов с доставкой киров","2019-07-04 - 2019-10-04","42.00","0.00","0.00","12.19","","0.00","0.00","","0.00","0.00","","","","17.00","0.00","0.00","6.35","","25.00","0.00","0.00","16.16",""
"доставка обедов в кирове","2019-07-04 - 2019-10-04","42.00","0.00","0.00","15.98","","0.00","0.00","","0.00","0.00","","","","13.00","0.00","0.00","6.31","","29.00","0.00","0.00","20.31",""
"заказать пиццу","2019-07-04 - 2019-10-04","41.00","0.00","0.00","9.46","","0.00","0.00","","0.00","0.00","","","","31.00","0.00","0.00","8.87","","10.00","0.00","0.00","11.30",""
"заказ обедов с доставкой в кирове","2019-07-04 - 2019-10-04","41.00","0.00","0.00","15.68","","0.00","0.00","","0.00","0.00","","","","18.00","0.00","0.00","6.72","","23.00","0.00","0.00","22.70",""
"доставка еды киров круглосуточно","2019-07-04 - 2019-10-04","41.00","1.00","2.44","12.51","13.00","1.00","0.00","0.00","0.00","0.00","","","","9.00","0.00","0.00","9.11","","31.00","1.00","3.23","13.87","13.00"
"чебуречная киров","2019-07-04 - 2019-10-04","40.00","0.00","0.00","9.25","","0.00","0.00","","0.00","0.00","","","","39.00","0.00","0.00","9.21","","1.00","0.00","0.00","11.00",""
"заказ обедов в кирове","2019-07-04 - 2019-10-04","40.00","0.00","0.00","13.88","","0.00","0.00","","0.00","0.00","","","","21.00","0.00","0.00","6.52","","19.00","0.00","0.00","22.00",""
"заказ обедов","2019-07-04 - 2019-10-04","39.00","0.00","0.00","13.31","","0.00","0.00","","0.00","0.00","","","","21.00","0.00","0.00","5.86","","18.00","0.00","0.00","22.00",""
"вкусные роллы киров","2019-07-04 - 2019-10-04","39.00","0.00","0.00","8.62","","0.00","0.00","","0.00","0.00","","","","32.00","0.00","0.00","8.00","","7.00","0.00","0.00","11.43",""
"шумовка киров калинина","2019-07-04 - 2019-10-04","39.00","5.00","12.82","2.10","2.00","3.00","0.00","0.00","36.00","5.00","13.89","2.19","2.00","0.00","0.00","","","","0.00","0.00","","",""
"заказ еды киров на дом","2019-07-04 - 2019-10-04","38.00","1.00","2.63","9.32","7.00","0.00","0.00","","0.00","0.00","","","","27.00","1.00","3.70","7.70","7.00","11.00","0.00","0.00","13.27",""
"вятский чебурек киров доставка","2019-07-04 - 2019-10-04","38.00","0.00","0.00","7.95","","0.00","0.00","","0.00","0.00","","","","38.00","0.00","0.00","7.95","","0.00","0.00","","",""
"заказ еды","2019-07-04 - 2019-10-04","32.00","2.00","6.25","8.84","9.00","0.00","0.00","","0.00","0.00","","","","20.00","1.00","5.00","7.10","6.00","12.00","1.00","8.33","11.75","12.00"
"кафе шумовка киров","2019-07-04 - 2019-10-04","32.00","11.00","34.38","2.34","1.82","3.00","3.00","100.00","27.00","8.00","29.63","2.37","2.13","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать еду киров на дом","2019-07-04 - 2019-10-04","32.00","2.00","6.25","8.31","6.00","0.00","0.00","","0.00","0.00","","","","24.00","2.00","8.33","7.17","6.00","8.00","0.00","0.00","11.75",""
"вкусно блин киров","2019-07-04 - 2019-10-04","31.00","0.00","0.00","10.61","","0.00","0.00","","0.00","0.00","","","","17.00","0.00","0.00","8.88","","14.00","0.00","0.00","12.71",""
"киров заказ еды","2019-07-04 - 2019-10-04","31.00","3.00","9.68","5.94","4.33","0.00","0.00","","13.00","2.00","15.38","2.15","2.00","14.00","1.00","7.14","6.21","9.00","4.00","0.00","0.00","17.25",""
"пицца в кирове","2019-07-04 - 2019-10-04","31.00","0.00","0.00","10.58","","0.00","0.00","","0.00","0.00","","","","18.00","0.00","0.00","9.33","","13.00","0.00","0.00","12.31",""
"супчик43","2019-07-04 - 2019-10-04","29.00","0.00","0.00","5.34","","0.00","0.00","","0.00","0.00","","","","29.00","0.00","0.00","5.34","","0.00","0.00","","",""
"заказать роллы","2019-07-04 - 2019-10-04","29.00","0.00","0.00","10.97","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","9.78","","20.00","0.00","0.00","11.50",""
"доставка роллов","2019-07-04 - 2019-10-04","28.00","0.00","0.00","27.89","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","9.14","","21.00","0.00","0.00","34.14",""
"заказать пиццу в кирове с доставкой","2019-07-04 - 2019-10-04","27.00","0.00","0.00","10.04","","0.00","0.00","","0.00","0.00","","","","15.00","0.00","0.00","9.00","","12.00","0.00","0.00","11.33",""
"еда киров доставка","2019-07-04 - 2019-10-04","25.00","3.00","12.00","8.96","7.00","0.00","0.00","","3.00","1.00","33.33","2.33","2.00","16.00","1.00","6.25","6.25","4.00","6.00","1.00","16.67","19.50","15.00"
"чебуреки киров доставка","2019-07-04 - 2019-10-04","24.00","7.00","29.17","3.04","3.71","5.00","0.00","0.00","10.00","3.00","30.00","2.60","2.67","9.00","4.00","44.44","4.67","4.50","0.00","0.00","","",""
"доставка","2019-07-04 - 2019-10-04","24.00","0.00","0.00","10.33","","0.00","0.00","","0.00","0.00","","","","12.00","0.00","0.00","7.67","","12.00","0.00","0.00","13.00",""
"пицца заказать киров","2019-07-04 - 2019-10-04","24.00","0.00","0.00","10.33","","0.00","0.00","","0.00","0.00","","","","15.00","0.00","0.00","9.60","","9.00","0.00","0.00","11.56",""
"киров доставка","2019-07-04 - 2019-10-04","24.00","0.00","0.00","8.46","","0.00","0.00","","1.00","0.00","0.00","3.00","","18.00","0.00","0.00","7.00","","5.00","0.00","0.00","14.80",""
"блинные киров","2019-07-04 - 2019-10-04","24.00","0.00","0.00","11.13","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","9.44","","15.00","0.00","0.00","12.13",""
"заказ ужинов в кирове","2019-07-04 - 2019-10-04","24.00","0.00","0.00","16.25","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","5.14","","17.00","0.00","0.00","20.82",""
"еда киров","2019-07-04 - 2019-10-04","23.00","1.00","4.35","12.00","11.00","0.00","0.00","","0.00","0.00","","","","13.00","0.00","0.00","8.46","","10.00","1.00","10.00","16.60","11.00"
"комплексные обеды с доставкой","2019-07-04 - 2019-10-04","23.00","0.00","0.00","11.43","","0.00","0.00","","1.00","0.00","0.00","3.00","","12.00","0.00","0.00","7.08","","10.00","0.00","0.00","17.50",""
"доставка пиццы кирова","2019-07-04 - 2019-10-04","22.00","0.00","0.00","26.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","22.00","0.00","0.00","26.50",""
"доставка киров еды","2019-07-04 - 2019-10-04","22.00","4.00","18.18","7.50","3.50","0.00","0.00","","7.00","3.00","42.86","2.43","2.33","8.00","1.00","12.50","6.25","7.00","7.00","0.00","0.00","14.00",""
"заказ пиццы в кирове с бесплатной доставкой","2019-07-04 - 2019-10-04","22.00","1.00","4.55","8.09","6.00","0.00","0.00","","0.00","0.00","","","","19.00","1.00","5.26","7.63","6.00","3.00","0.00","0.00","11.00",""
"доставка чебуреков киров","2019-07-04 - 2019-10-04","20.00","6.00","30.00","3.45","2.83","3.00","1.00","33.33","8.00","3.00","37.50","2.63","2.33","9.00","2.00","22.22","5.00","4.50","0.00","0.00","","",""
"заказ","2019-07-04 - 2019-10-04","20.00","0.00","0.00","7.40","","0.00","0.00","","0.00","0.00","","","","16.00","0.00","0.00","6.06","","4.00","0.00","0.00","12.75",""
"пельменная киров","2019-07-04 - 2019-10-04","20.00","0.00","0.00","10.95","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","9.50","","14.00","0.00","0.00","11.57",""
"еда на заказ киров","2019-07-04 - 2019-10-04","20.00","1.00","5.00","13.15","22.00","0.00","0.00","","1.00","0.00","0.00","3.00","","6.00","0.00","0.00","7.67","","13.00","1.00","7.69","16.46","22.00"
"доставка роллов киров","2019-07-04 - 2019-10-04","20.00","0.00","0.00","37.40","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","20.00","0.00","0.00","37.40",""
"блины киров","2019-07-04 - 2019-10-04","20.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","18.00","0.00","0.00","8.11","","2.00","0.00","0.00","12.00",""
"заказать","2019-07-04 - 2019-10-04","20.00","0.00","0.00","4.60","","1.00","0.00","0.00","11.00","0.00","0.00","2.82","","8.00","0.00","0.00","7.50","","0.00","0.00","","",""
"удон киров","2019-07-04 - 2019-10-04","20.00","1.00","5.00","7.70","6.00","0.00","0.00","","0.00","0.00","","","","18.00","1.00","5.56","7.33","6.00","2.00","0.00","0.00","11.00",""
"доставка домашней еды киров","2019-07-04 - 2019-10-04","19.00","1.00","5.26","6.74","4.00","0.00","0.00","","1.00","0.00","0.00","3.00","","16.00","1.00","6.25","6.38","4.00","2.00","0.00","0.00","11.50",""
"доставка обедов киров домашняя еда","2019-07-04 - 2019-10-04","19.00","3.00","15.79","9.11","8.00","0.00","0.00","","1.00","0.00","0.00","2.00","","11.00","2.00","18.18","7.00","6.00","7.00","1.00","14.29","13.43","12.00"
"вкусный обед киров доставка","2019-07-04 - 2019-10-04","18.00","2.00","11.11","12.72","20.00","0.00","0.00","","0.00","0.00","","","","8.00","0.00","0.00","9.25","","10.00","2.00","20.00","15.50","20.00"
"доставка роллов в кирове","2019-07-04 - 2019-10-04","18.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","9.17","","12.00","0.00","0.00","16.42",""
"роллы доставка киров","2019-07-04 - 2019-10-04","18.00","0.00","0.00","20.39","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","14.00","0.00","0.00","23.57",""
"заказ обедов в офис","2019-07-04 - 2019-10-04","18.00","0.00","0.00","16.61","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","16.00","0.00","0.00","18.13",""
"лапша вок киров","2019-07-04 - 2019-10-04","17.00","2.00","11.76","11.76","12.50","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","13.00","2.00","15.38","12.54","12.50"
"чебурек 43 киров","2019-07-04 - 2019-10-04","17.00","1.00","5.88","7.65","7.00","0.00","0.00","","0.00","0.00","","","","17.00","1.00","5.88","7.65","7.00","0.00","0.00","","",""
"заказ еды в кирове","2019-07-04 - 2019-10-04","17.00","1.00","5.88","10.59","9.00","0.00","0.00","","0.00","0.00","","","","11.00","1.00","9.09","8.91","9.00","6.00","0.00","0.00","13.67",""
"заказать еду в кирове","2019-07-04 - 2019-10-04","17.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.00","","10.00","0.00","0.00","11.40",""
"доставка лапши киров","2019-07-04 - 2019-10-04","17.00","3.00","17.65","7.59","7.67","0.00","0.00","","1.00","0.00","0.00","3.00","","13.00","2.00","15.38","7.15","6.00","3.00","1.00","33.33","11.00","11.00"
"пельмени киров","2019-07-04 - 2019-10-04","17.00","1.00","5.88","6.24","7.00","0.00","0.00","","0.00","0.00","","","","17.00","1.00","5.88","6.24","7.00","0.00","0.00","","",""
"цезарь доставка еды","2019-07-04 - 2019-10-04","16.00","0.00","0.00","6.63","","0.00","0.00","","4.00","0.00","0.00","3.00","","12.00","0.00","0.00","7.83","","0.00","0.00","","",""
"пицца в кирове с доставкой","2019-07-04 - 2019-10-04","16.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","8.30","","6.00","0.00","0.00","11.50",""
"запеченные роллы в кирове","2019-07-04 - 2019-10-04","16.00","2.00","12.50","12.69","13.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","16.00","2.00","12.50","12.69","13.00"
"чизкейк киров купить","2019-07-04 - 2019-10-04","16.00","0.00","0.00","7.88","","0.00","0.00","","1.00","0.00","0.00","2.00","","12.00","0.00","0.00","7.58","","3.00","0.00","0.00","11.00",""
"заказать удон киров","2019-07-04 - 2019-10-04","16.00","3.00","18.75","8.00","8.00","0.00","0.00","","0.00","0.00","","","","14.00","3.00","21.43","7.50","8.00","2.00","0.00","0.00","11.50",""
"пицца киров","2019-07-04 - 2019-10-04","16.00","0.00","0.00","12.25","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","15.00","0.00","0.00","12.40",""
"доставка обедов супчик киров","2019-07-04 - 2019-10-04","15.00","0.00","0.00","3.40","","0.00","0.00","","11.00","0.00","0.00","3.00","","4.00","0.00","0.00","4.50","","0.00","0.00","","",""
"киров заказ еды на дом","2019-07-04 - 2019-10-04","15.00","0.00","0.00","8.27","","0.00","0.00","","3.00","0.00","0.00","3.00","","6.00","0.00","0.00","7.33","","6.00","0.00","0.00","11.83",""
"киров еда","2019-07-04 - 2019-10-04","15.00","0.00","0.00","11.80","","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","8.82","","4.00","0.00","0.00","20.00",""
"ljcnfdrf tls rbhjd","2019-07-04 - 2019-10-04","15.00","4.00","26.67","5.67","3.25","5.00","1.00","20.00","3.00","1.00","33.33","2.00","2.00","3.00","2.00","66.67","5.00","5.00","4.00","0.00","0.00","14.75",""
"вкусный обед киров","2019-07-04 - 2019-10-04","15.00","0.00","0.00","13.60","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","8.11","","6.00","0.00","0.00","21.83",""
"пицца кирова","2019-07-04 - 2019-10-04","15.00","0.00","0.00","33.07","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","15.00","0.00","0.00","33.07",""
"купить пиццу в кирове","2019-07-04 - 2019-10-04","14.00","1.00","7.14","6.21","8.00","0.00","0.00","","1.00","0.00","0.00","2.00","","13.00","1.00","7.69","6.54","8.00","0.00","0.00","","",""
"доставка киров еда","2019-07-04 - 2019-10-04","14.00","1.00","7.14","13.29","14.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","6.33","","8.00","1.00","12.50","18.50","14.00"
"вкусно блин киров меню","2019-07-04 - 2019-10-04","14.00","1.00","7.14","7.29","7.00","0.00","0.00","","0.00","0.00","","","","13.00","1.00","7.69","6.92","7.00","1.00","0.00","0.00","12.00",""
"доставка блинов киров","2019-07-04 - 2019-10-04","14.00","7.00","50.00","2.36","2.43","6.00","2.00","33.33","4.00","3.00","75.00","2.25","2.33","4.00","2.00","50.00","4.50","4.00","0.00","0.00","","",""
"горячие роллы в кирове","2019-07-04 - 2019-10-04","14.00","0.00","0.00","25.71","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","14.00","0.00","0.00","25.71",""
"заказать обед киров","2019-07-04 - 2019-10-04","14.00","4.00","28.57","7.14","7.00","0.00","0.00","","0.00","0.00","","","","14.00","4.00","28.57","7.14","7.00","0.00","0.00","","",""
"шумовка киров официальный сайт","2019-07-04 - 2019-10-04","14.00","6.00","42.86","1.64","1.33","5.00","4.00","80.00","9.00","2.00","22.22","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"чебуреки те самые киров","2019-07-04 - 2019-10-04","13.00","0.00","0.00","7.69","","0.00","0.00","","0.00","0.00","","","","13.00","0.00","0.00","7.69","","0.00","0.00","","",""
"супчик доставка обедов","2019-07-04 - 2019-10-04","13.00","2.00","15.38","4.00","4.00","0.00","0.00","","3.00","0.00","0.00","2.00","","10.00","2.00","20.00","4.60","4.00","0.00","0.00","","",""
"киров пицца с доставкой","2019-07-04 - 2019-10-04","13.00","0.00","0.00","9.85","","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","9.30","","3.00","0.00","0.00","11.67",""
"пицца с доставкой киров","2019-07-04 - 2019-10-04","13.00","0.00","0.00","9.85","","0.00","0.00","","0.00","0.00","","","","9.00","0.00","0.00","9.33","","4.00","0.00","0.00","11.00",""
"роллы в кирове заказать","2019-07-04 - 2019-10-04","13.00","1.00","7.69","8.77","10.00","0.00","0.00","","0.00","0.00","","","","12.00","1.00","8.33","8.58","10.00","1.00","0.00","0.00","11.00",""
"доставка чебуреков","2019-07-04 - 2019-10-04","13.00","0.00","0.00","10.23","","0.00","0.00","","1.00","0.00","0.00","3.00","","7.00","0.00","0.00","8.71","","5.00","0.00","0.00","13.80",""
"шумовка калинина 40","2019-07-04 - 2019-10-04","13.00","5.00","38.46","2.23","2.40","0.00","0.00","","13.00","5.00","38.46","2.23","2.40","0.00","0.00","","","","0.00","0.00","","",""
"еда на дом","2019-07-04 - 2019-10-04","13.00","1.00","7.69","8.92","4.00","0.00","0.00","","0.00","0.00","","","","9.00","1.00","11.11","6.22","4.00","4.00","0.00","0.00","15.00",""
"заказ пиццы в кирове с доставкой","2019-07-04 - 2019-10-04","13.00","0.00","0.00","10.85","","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","9.50","","7.00","0.00","0.00","12.00",""
"заказать чебуреки с доставкой","2019-07-04 - 2019-10-04","13.00","0.00","0.00","5.31","","2.00","0.00","0.00","1.00","0.00","0.00","3.00","","8.00","0.00","0.00","5.00","","2.00","0.00","0.00","12.00",""
"роллы киров заказать","2019-07-04 - 2019-10-04","12.00","0.00","0.00","12.92","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.80","","7.00","0.00","0.00","15.14",""
"пельменное ухо киров","2019-07-04 - 2019-10-04","12.00","0.00","0.00","7.08","","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","5.50","","2.00","0.00","0.00","15.00",""
"доставки еды киров","2019-07-04 - 2019-10-04","12.00","1.00","8.33","8.08","2.00","0.00","0.00","","3.00","1.00","33.33","2.00","2.00","5.00","0.00","0.00","7.40","","4.00","0.00","0.00","13.50",""
"чизкеечная киров","2019-07-04 - 2019-10-04","12.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","12.00","0.00","0.00","14.00",""
"вятский чебурек киров официальный сайт меню цены","2019-07-04 - 2019-10-04","12.00","0.00","0.00","7.08","","0.00","0.00","","0.00","0.00","","","","12.00","0.00","0.00","7.08","","0.00","0.00","","",""
"заказ роллов в кирове с доставкой","2019-07-04 - 2019-10-04","12.00","0.00","0.00","12.17","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","11.00","0.00","0.00","12.36",""
